qf_number,R2
1,Novak Djokovic (SRB) [1]
1,Alexei Popyrin (AUS)
1,Yannick Hanfmann (GER)
1,Tomas Martin Etcheverry (ARG) [30]
1,Adrian Mannarino (FRA) [20]
1,Jaume Munar (ESP)
1,Christopher O'Connell (AUS)
1,Ben Shelton (USA) [16]
2,Taylor Fritz (USA) [12]
2,Roberto Carballes Baena (ESP)
2,Fabian Marozsan (HUN)
2,Francisco Cerundolo (ARG) [22]
2,Lorenzo Musetti (ITA) [25]
2,Luca Van Assche (FRA)
2,Jordan Thompson (AUS)
2,Stefanos Tsitsipas (GRE) [7]
3,Jannik Sinner (ITA) [4]
3,Pedro Cachin (ARG)
3,Jason Kubler (AUS) [WC]
3,Sebastian Baez (ARG) [26]
3,Frances Tiafoe (USA) [17]
3,Tomas Machac (CZE)
3,Alejandro Tabilo (CHI)
3,Karen Khachanov (RUS) [15]
4,Alex de Minaur (AUS) [10]
4,Matteo Arnaldi (ITA)
4,Pavel Kotov (RUS)
4,Nicolas Jarry (CHI) [18]
4,Sebastian Korda (USA) [29]
4,Quentin Halys (FRA)
4,Christopher Eubanks (USA)
4,Andrey Rublev (RUS) [5]
5,Holger Rune (DEN) [8]
5,Arthur Cazaux (FRA) [WC]
5,Arthur Fils (FRA)
5,Roman Safiullin (RUS)
5,Ugo Humbert (FRA) [21]
5,Zhizhen Zhang (CHN)
5,Denis Shapovalov (CAN)
5,Hubert Hurkacz (POL) [9]
6,Grigor Dimitrov (BUL) [13]
6,Thanasi Kokkinakis (AUS)
6,Nuno Borges (POR)
6,Alejandro Davidovich Fokina (ESP) [23]
6,Felix Auger-Aliassime (CAN) [27]
6,Alexandre Muller (FRA)
6,Emil Ruusuvuori (FIN)
6,Daniil Medvedev (RUS) [3]
7,Alexander Zverev (GER) [6]
7,Soonwoo Kwon (KOR)
7,Alex Michelsen (USA)
7,Jiri Lehecka (CZE) [32]
7,Cameron Norrie (GBR) [19]
7,Dusan Lajovic (SRB)
7,Max Purcell (AUS)
7,Casper Ruud (NOR) [11]
8,Tommy Paul (USA) [14]
8,Jack Draper (GBR)
8,Miomir Kecmanovic (SRB)
8,Jan-Lennard Struff (GER) [24]
8,Alexander Bublik (KAZ) [31]
8,Mackenzie McDonald (USA)
8,Lorenzo Sonego (ITA)
8,Carlos Alcaraz (ESP) [2]